Training_ID,Employee_ID,Training_Name,Provider,Start_Date,End_Date,Training_Cost,Certification_Status
T000919,E00438,Sales Negotiation Skills,Miller Heiman,2024-06-25,2024-07-01,3176.06,Completed
T000920,E00438,Cybersecurity Awareness,Udemy,2023-04-06,2023-04-14,2740.62,Completed
T000921,E00440,Workplace Safety & Compliance,Internal L&D,2025-05-23,2025-05-25,375.1,Completed
T000922,E00440,Sales Negotiation Skills,Miller Heiman,2025-04-22,2025-05-02,2961.01,Completed
T000923,E00441,Sales Negotiation Skills,Miller Heiman,2022-02-25,2022-03-03,2223.32,Completed
T000924,E00441,Workplace Safety & Compliance,Internal L&D,2022-01-03,2022-01-06,3325.16,Not Certified
T000925,E00441,Diversity & Inclusion Workshop,Internal L&D,2021-08-26,2021-09-03,604.29,Completed
T000926,E00441,Cloud Computing Fundamentals,AWS Training,2021-12-27,2022-01-06,1450.17,Completed
T000927,E00441,Project Management Professional,PMI,2022-07-04,2022-07-07,1735.36,Completed
T000928,E00442,Cloud Computing Fundamentals,AWS Training,2024-06-27,2024-07-03,3021.73,Not Certified
T000929,E00442,Cybersecurity Awareness,Udemy,2023-04-25,2023-05-02,3371.14,Not Certified
T000930,E00442,Workplace Safety & Compliance,Internal L&D,2023-01-25,2023-01-31,420.91,Completed
T000931,E00442,Financial Modeling,Wall Street Prep,2024-03-30,2024-04-09,3380.71,Not Certified
T000932,E00442,Workplace Safety & Compliance,Internal L&D,2024-08-16,2024-08-25,924.1,Completed
T000933,E00443,Customer Service Excellence,Internal L&D,2025-04-27,2025-05-07,1154.1,Completed
T000934,E00443,Financial Modeling,Wall Street Prep,2024-11-08,2024-11-12,3146.56,Completed
T000935,E00444,Project Management Professional,PMI,2025-04-22,2025-04-30,2824.3,Completed
T000936,E00444,Six Sigma Green Belt,ASQ,2024-08-10,2024-08-13,3350.34,Completed
T000937,E00444,Project Management Professional,PMI,2025-02-01,2025-02-03,2445.06,Not Certified
T000938,E00445,Six Sigma Green Belt,ASQ,2022-07-26,2022-07-30,2814.36,Completed
T000939,E00445,Financial Modeling,Wall Street Prep,2023-01-12,2023-01-14,1286.79,Not Certified
T000940,E00446,Agile & Scrum Master,Scrum.org,2024-12-19,2024-12-28,3319.92,Completed
T000941,E00447,Power BI for Business,Microsoft Learn,2025-04-15,2025-04-25,1776.01,Completed
T000942,E00447,Workplace Safety & Compliance,Internal L&D,2025-02-26,2025-03-05,1694.41,Completed
T000943,E00447,Sales Negotiation Skills,Miller Heiman,2024-10-17,2024-10-24,2311.3,Completed
T000944,E00447,Financial Modeling,Wall Street Prep,2025-01-09,2025-01-18,3157.06,Completed
T000945,E00448,Agile & Scrum Master,Scrum.org,2023-06-19,2023-06-28,2792.39,Completed
T000946,E00449,Sales Negotiation Skills,Miller Heiman,2025-02-04,2025-02-10,226.39,Completed
T000947,E00449,Project Management Professional,PMI,2020-12-31,2021-01-02,3203.58,In Progress
T000948,E00449,Advanced Excel & Data Analysis,Coursera,2020-08-27,2020-08-29,2382.45,Completed
T000949,E00449,Six Sigma Green Belt,ASQ,2021-07-02,2021-07-05,663.89,Completed
T000950,E00450,Financial Modeling,Wall Street Prep,2021-06-14,2021-06-18,2182.1,Completed
T000951,E00450,Workplace Safety & Compliance,Internal L&D,2022-08-29,2022-09-06,514.18,In Progress
T000952,E00453,Customer Service Excellence,Internal L&D,2023-12-12,2023-12-18,1090.89,Completed
T000953,E00453,Project Management Professional,PMI,2021-01-29,2021-02-02,2111.33,Completed
T000954,E00453,Financial Modeling,Wall Street Prep,2020-09-10,2020-09-18,2104.08,Completed
T000955,E00453,Advanced Excel & Data Analysis,Coursera,2023-02-14,2023-02-17,2377.51,Completed
T000956,E00453,Power BI for Business,Microsoft Learn,2024-02-12,2024-02-20,1454.39,Not Certified
T000957,E00453,Six Sigma Green Belt,ASQ,2020-11-21,2020-11-23,473.88,Completed
T000958,E00454,Workplace Safety & Compliance,Internal L&D,2025-06-23,2025-06-27,1258.95,Completed
T000959,E00455,Power BI for Business,Microsoft Learn,2024-07-04,2024-07-10,2230.88,Completed
T000960,E00455,Advanced Excel & Data Analysis,Coursera,2025-04-02,2025-04-04,2224.32,Not Certified
T000961,E00455,Sales Negotiation Skills,Miller Heiman,2024-04-01,2024-04-08,3386.89,Completed
T000962,E00457,Advanced Excel & Data Analysis,Coursera,2021-08-31,2021-09-10,570.32,Completed
T000963,E00457,Workplace Safety & Compliance,Internal L&D,2023-12-28,2024-01-04,1532.44,Completed
T000964,E00457,Six Sigma Green Belt,ASQ,2021-01-18,2021-01-27,2697.44,Completed
T000965,E00457,Cloud Computing Fundamentals,AWS Training,2022-08-27,2022-08-30,741.33,Completed
T000966,E00457,Project Management Professional,PMI,2021-05-03,2021-05-10,3070.99,In Progress
T000967,E00458,Sales Negotiation Skills,Miller Heiman,2020-05-31,2020-06-07,2452.28,Not Certified
T000968,E00458,Python for Data Analysis,Coursera,2020-06-20,2020-06-26,1207.55,Completed
T000969,E00458,Project Management Professional,PMI,2021-05-18,2021-05-23,1195.99,In Progress
T000970,E00460,Customer Service Excellence,Internal L&D,2023-05-25,2023-06-04,3468.16,Completed
T000971,E00460,Workplace Safety & Compliance,Internal L&D,2022-09-13,2022-09-18,2075.42,Completed
T000972,E00460,Cybersecurity Awareness,Udemy,2023-07-13,2023-07-22,1781.32,Completed
T000973,E00460,Effective Communication,LinkedIn Learning,2021-01-12,2021-01-14,2586.4,Not Certified
T000974,E00460,Power BI for Business,Microsoft Learn,2021-03-11,2021-03-20,250.81,In Progress
T000975,E00460,Advanced Excel & Data Analysis,Coursera,2020-12-30,2021-01-06,3416.72,Completed
T000976,E00461,Six Sigma Green Belt,ASQ,2024-04-03,2024-04-07,159.1,In Progress
T000977,E00461,Agile & Scrum Master,Scrum.org,2024-02-01,2024-02-04,3060.37,In Progress
T000978,E00461,Effective Communication,LinkedIn Learning,2023-08-27,2023-08-29,2144.37,In Progress
T000979,E00461,Advanced Excel & Data Analysis,Coursera,2023-01-29,2023-02-08,2050.14,In Progress
T000980,E00461,Project Management Professional,PMI,2023-07-04,2023-07-06,3432.43,Completed
T000981,E00463,Financial Modeling,Wall Street Prep,2023-07-13,2023-07-21,445.54,Completed
T000982,E00464,Financial Modeling,Wall Street Prep,2024-05-19,2024-05-21,1780.32,Completed
T000983,E00464,Workplace Safety & Compliance,Internal L&D,2025-03-18,2025-03-28,1322.32,Not Certified
T000984,E00465,Customer Service Excellence,Internal L&D,2022-07-28,2022-08-05,2623.42,Completed
T000985,E00467,Six Sigma Green Belt,ASQ,2022-03-19,2022-03-23,2550.82,Completed
T000986,E00467,Sales Negotiation Skills,Miller Heiman,2021-03-25,2021-04-02,1605.42,Not Certified
T000987,E00467,Agile & Scrum Master,Scrum.org,2022-09-13,2022-09-23,428.75,Not Certified
T000988,E00467,Customer Service Excellence,Internal L&D,2022-09-26,2022-10-01,3203.8,Completed
T000989,E00468,Power BI for Business,Microsoft Learn,2024-02-03,2024-02-06,2759.27,Completed
T000990,E00468,Effective Communication,LinkedIn Learning,2024-02-04,2024-02-08,437.7,In Progress
T000991,E00471,Effective Communication,LinkedIn Learning,2025-05-11,2025-05-13,2206.9,Completed
T000992,E00473,Agile & Scrum Master,Scrum.org,2022-07-10,2022-07-19,591.75,Completed
T000993,E00473,Customer Service Excellence,Internal L&D,2023-02-18,2023-02-21,956.92,Not Certified
T000994,E00473,Leadership Excellence,Dale Carnegie,2021-05-30,2021-06-01,2339.64,Completed
T000995,E00473,Sales Negotiation Skills,Miller Heiman,2023-08-18,2023-08-27,872.86,Completed
T000996,E00474,Python for Data Analysis,Coursera,2023-09-01,2023-09-10,3282.22,Completed
T000997,E00474,Customer Service Excellence,Internal L&D,2022-03-06,2022-03-14,504.62,In Progress
T000998,E00474,Sales Negotiation Skills,Miller Heiman,2022-09-16,2022-09-23,2734.91,Completed
T000999,E00474,Cloud Computing Fundamentals,AWS Training,2023-12-07,2023-12-15,2560.46,In Progress
T001000,E00474,Customer Service Excellence,Internal L&D,2024-08-22,2024-08-29,3208.43,Completed
T001001,E00476,Power BI for Business,Microsoft Learn,2022-03-02,2022-03-11,1226.73,Completed
T001002,E00476,Python for Data Analysis,Coursera,2021-11-07,2021-11-12,794.19,Completed
T001003,E00476,Cloud Computing Fundamentals,AWS Training,2021-08-30,2021-09-07,3445.43,In Progress
T001004,E00476,Cloud Computing Fundamentals,AWS Training,2023-07-02,2023-07-08,1104.34,Completed
T001005,E00476,Cloud Computing Fundamentals,AWS Training,2022-02-24,2022-03-03,1577.67,Completed
T001006,E00476,Python for Data Analysis,Coursera,2021-11-16,2021-11-18,3015.52,Completed
T001007,E00478,Diversity & Inclusion Workshop,Internal L&D,2025-01-03,2025-01-07,1428.18,Completed
T001008,E00479,Six Sigma Green Belt,ASQ,2025-04-27,2025-05-06,1260.7,Completed
T001009,E00479,Diversity & Inclusion Workshop,Internal L&D,2024-02-10,2024-02-13,736.89,Not Certified
T001010,E00481,Agile & Scrum Master,Scrum.org,2024-03-24,2024-03-28,2957.87,Completed
T001011,E00481,Leadership Excellence,Dale Carnegie,2024-01-12,2024-01-20,3280.21,Not Certified
T001012,E00481,Agile & Scrum Master,Scrum.org,2023-06-14,2023-06-21,597.09,Not Certified
T001013,E00481,Cloud Computing Fundamentals,AWS Training,2024-01-17,2024-01-22,2009.46,In Progress
T001014,E00482,Sales Negotiation Skills,Miller Heiman,2025-06-09,2025-06-19,1235.22,Completed
T001015,E00482,Power BI for Business,Microsoft Learn,2025-01-17,2025-01-24,3178.07,Completed
T001016,E00482,Cloud Computing Fundamentals,AWS Training,2024-12-12,2024-12-21,2280.07,Completed
T001017,E00482,Diversity & Inclusion Workshop,Internal L&D,2022-07-02,2022-07-04,247.3,Completed
T001018,E00483,Effective Communication,LinkedIn Learning,2025-06-20,2025-06-22,916.8,In Progress
T001019,E00484,Agile & Scrum Master,Scrum.org,2022-08-24,2022-08-29,2481.3,In Progress
T001020,E00484,Agile & Scrum Master,Scrum.org,2023-01-09,2023-01-18,2138.0,Completed
T001021,E00484,Cybersecurity Awareness,Udemy,2023-03-11,2023-03-16,2069.62,Completed
T001022,E00484,Python for Data Analysis,Coursera,2021-11-16,2021-11-18,2636.67,Completed
T001023,E00485,Six Sigma Green Belt,ASQ,2025-01-28,2025-01-30,1176.34,In Progress
T001024,E00487,Effective Communication,LinkedIn Learning,2025-04-09,2025-04-12,1680.79,Completed
T001025,E00487,Cybersecurity Awareness,Udemy,2025-06-13,2025-06-23,403.03,In Progress
T001026,E00487,Financial Modeling,Wall Street Prep,2025-04-22,2025-04-29,891.98,Completed
T001027,E00488,Workplace Safety & Compliance,Internal L&D,2022-01-23,2022-01-31,954.8,In Progress
T001028,E00488,Sales Negotiation Skills,Miller Heiman,2022-05-01,2022-05-09,2251.3,Completed
T001029,E00488,Python for Data Analysis,Coursera,2021-06-26,2021-07-01,2913.8,Not Certified
T001030,E00489,Customer Service Excellence,Internal L&D,2020-10-01,2020-10-05,1265.24,Completed
T001031,E00489,Effective Communication,LinkedIn Learning,2020-12-19,2020-12-27,3095.01,Not Certified
T001032,E00491,Cybersecurity Awareness,Udemy,2022-02-14,2022-02-16,1682.94,In Progress
T001033,E00491,Python for Data Analysis,Coursera,2021-11-23,2021-12-01,1857.16,Not Certified
T001034,E00491,Effective Communication,LinkedIn Learning,2023-12-06,2023-12-08,457.69,Not Certified
T001035,E00491,Sales Negotiation Skills,Miller Heiman,2025-01-29,2025-02-08,2943.03,In Progress
T001036,E00492,Cloud Computing Fundamentals,AWS Training,2020-07-26,2020-07-29,262.4,Completed
T001037,E00492,Power BI for Business,Microsoft Learn,2024-06-17,2024-06-24,1458.36,In Progress
T001038,E00492,Sales Negotiation Skills,Miller Heiman,2024-01-14,2024-01-21,1073.82,In Progress
T001039,E00492,Financial Modeling,Wall Street Prep,2022-08-22,2022-08-25,1137.73,Not Certified
T001040,E00492,Cloud Computing Fundamentals,AWS Training,2021-04-21,2021-04-26,1082.63,Completed
T001041,E00492,Project Management Professional,PMI,2024-09-03,2024-09-07,2868.55,Not Certified
T001042,E00493,Cloud Computing Fundamentals,AWS Training,2024-05-12,2024-05-21,2850.82,Completed
T001043,E00493,Cybersecurity Awareness,Udemy,2024-09-16,2024-09-22,933.16,Not Certified
T001044,E00493,Agile & Scrum Master,Scrum.org,2025-04-03,2025-04-13,1570.02,Completed
T001045,E00493,Agile & Scrum Master,Scrum.org,2022-07-26,2022-07-29,642.01,Completed
T001046,E00494,Cloud Computing Fundamentals,AWS Training,2023-02-23,2023-02-26,1996.92,Completed
T001047,E00494,Effective Communication,LinkedIn Learning,2023-05-18,2023-05-28,233.8,Completed
T001048,E00495,Cybersecurity Awareness,Udemy,2022-04-01,2022-04-06,1560.99,Not Certified
T001049,E00496,Agile & Scrum Master,Scrum.org,2023-05-25,2023-05-29,1242.28,Not Certified
T001050,E00496,Financial Modeling,Wall Street Prep,2023-09-15,2023-09-25,717.86,Completed
T001051,E00497,Six Sigma Green Belt,ASQ,2024-03-17,2024-03-24,2457.48,Completed
T001052,E00497,Customer Service Excellence,Internal L&D,2024-08-03,2024-08-10,899.3,In Progress
T001053,E00498,Cloud Computing Fundamentals,AWS Training,2024-03-19,2024-03-28,1880.35,Not Certified
T001054,E00498,Advanced Excel & Data Analysis,Coursera,2025-01-28,2025-01-30,665.5,Completed
T001055,E00498,Diversity & Inclusion Workshop,Internal L&D,2023-04-18,2023-04-23,1787.0,Completed
T001056,E00498,Six Sigma Green Belt,ASQ,2025-02-15,2025-02-17,3013.55,Completed
T001057,E00499,Python for Data Analysis,Coursera,2024-09-11,2024-09-13,1901.85,In Progress
T001058,E00499,Six Sigma Green Belt,ASQ,2024-10-29,2024-11-06,2140.45,In Progress
T001059,E00499,Cybersecurity Awareness,Udemy,2024-12-23,2024-12-25,161.18,Not Certified
T001060,E00501,Agile & Scrum Master,Scrum.org,2024-08-21,2024-08-27,2765.17,Completed
T001061,E00501,Leadership Excellence,Dale Carnegie,2023-11-05,2023-11-15,860.38,Completed
T001062,E00502,Leadership Excellence,Dale Carnegie,2023-05-14,2023-05-18,325.07,Completed
T001063,E00503,Python for Data Analysis,Coursera,2022-09-02,2022-09-10,3339.27,In Progress
T001064,E00503,Customer Service Excellence,Internal L&D,2025-04-25,2025-04-29,3491.24,Not Certified
T001065,E00503,Cloud Computing Fundamentals,AWS Training,2023-02-22,2023-02-27,1459.68,In Progress
T001066,E00503,Agile & Scrum Master,Scrum.org,2025-01-26,2025-02-03,2856.42,Completed
T001067,E00504,Power BI for Business,Microsoft Learn,2024-03-31,2024-04-10,837.54,Completed
T001068,E00504,Effective Communication,LinkedIn Learning,2024-06-24,2024-07-02,2163.93,Completed
T001069,E00504,Python for Data Analysis,Coursera,2024-12-09,2024-12-18,1533.92,In Progress
T001070,E00505,Python for Data Analysis,Coursera,2024-09-15,2024-09-25,1586.86,Completed
T001071,E00506,Effective Communication,LinkedIn Learning,2022-08-06,2022-08-16,1242.83,Completed
T001072,E00506,Leadership Excellence,Dale Carnegie,2023-05-05,2023-05-15,525.52,In Progress
T001073,E00506,Sales Negotiation Skills,Miller Heiman,2023-06-18,2023-06-26,496.38,Not Certified
T001074,E00508,Advanced Excel & Data Analysis,Coursera,2022-06-14,2022-06-23,2400.64,Completed
T001075,E00508,Cybersecurity Awareness,Udemy,2020-11-13,2020-11-21,2139.62,Completed
T001076,E00508,Advanced Excel & Data Analysis,Coursera,2023-02-24,2023-03-02,851.16,Completed
T001077,E00508,Cybersecurity Awareness,Udemy,2022-06-28,2022-07-06,408.79,Completed
T001078,E00508,Financial Modeling,Wall Street Prep,2023-10-06,2023-10-08,982.08,In Progress
T001079,E00508,Workplace Safety & Compliance,Internal L&D,2021-05-07,2021-05-12,2261.42,Completed
T001080,E00509,Project Management Professional,PMI,2024-07-30,2024-08-09,367.67,Completed
T001081,E00511,Six Sigma Green Belt,ASQ,2022-01-25,2022-01-30,1623.25,Completed
T001082,E00511,Cybersecurity Awareness,Udemy,2023-11-11,2023-11-18,696.11,Completed
T001083,E00511,Sales Negotiation Skills,Miller Heiman,2022-09-08,2022-09-12,2648.95,Not Certified
T001084,E00511,Advanced Excel & Data Analysis,Coursera,2022-11-15,2022-11-21,796.96,Not Certified
T001085,E00511,Python for Data Analysis,Coursera,2025-03-03,2025-03-11,459.51,Not Certified
T001086,E00511,Six Sigma Green Belt,ASQ,2023-08-04,2023-08-11,2319.68,Completed
T001087,E00512,Cybersecurity Awareness,Udemy,2020-12-15,2020-12-25,2458.16,Not Certified
T001088,E00512,Leadership Excellence,Dale Carnegie,2021-06-21,2021-06-28,232.79,Completed
T001089,E00512,Cybersecurity Awareness,Udemy,2022-03-19,2022-03-24,2341.9,Completed
T001090,E00513,Financial Modeling,Wall Street Prep,2024-06-20,2024-06-27,198.05,Not Certified
T001091,E00513,Cloud Computing Fundamentals,AWS Training,2022-03-04,2022-03-10,3250.26,Completed
T001092,E00513,Workplace Safety & Compliance,Internal L&D,2024-08-11,2024-08-20,3127.12,In Progress
T001093,E00513,Workplace Safety & Compliance,Internal L&D,2024-03-08,2024-03-12,1522.49,Not Certified
T001094,E00513,Cybersecurity Awareness,Udemy,2023-05-27,2023-05-31,175.73,Completed
T001095,E00513,Advanced Excel & Data Analysis,Coursera,2023-05-03,2023-05-11,3254.72,Not Certified
T001096,E00515,Python for Data Analysis,Coursera,2021-09-12,2021-09-16,1695.19,Completed
T001097,E00515,Advanced Excel & Data Analysis,Coursera,2021-07-31,2021-08-04,1910.46,Completed
T001098,E00516,Six Sigma Green Belt,ASQ,2023-12-06,2023-12-15,839.75,Completed
T001099,E00516,Agile & Scrum Master,Scrum.org,2023-08-20,2023-08-24,2775.98,Not Certified
T001100,E00517,Project Management Professional,PMI,2023-04-20,2023-04-26,938.62,In Progress
T001101,E00518,Financial Modeling,Wall Street Prep,2024-12-02,2024-12-06,1586.46,Completed
T001102,E00518,Workplace Safety & Compliance,Internal L&D,2024-11-29,2024-12-03,2357.77,Completed
T001103,E00519,Cloud Computing Fundamentals,AWS Training,2024-01-14,2024-01-22,1984.17,In Progress
T001104,E00520,Agile & Scrum Master,Scrum.org,2025-04-28,2025-05-08,1297.7,Completed
T001105,E00521,Cloud Computing Fundamentals,AWS Training,2025-05-22,2025-05-30,2972.49,Completed
T001106,E00522,Power BI for Business,Microsoft Learn,2024-11-12,2024-11-22,3244.42,Completed
T001107,E00522,Sales Negotiation Skills,Miller Heiman,2022-01-29,2022-02-03,1452.69,Completed
T001108,E00522,Diversity & Inclusion Workshop,Internal L&D,2025-05-09,2025-05-12,997.58,Completed
T001109,E00522,Advanced Excel & Data Analysis,Coursera,2023-06-06,2023-06-09,3081.28,Completed
T001110,E00522,Power BI for Business,Microsoft Learn,2023-10-10,2023-10-17,2167.17,Not Certified
T001111,E00522,Project Management Professional,PMI,2023-11-01,2023-11-10,943.55,Not Certified
T001112,E00524,Power BI for Business,Microsoft Learn,2023-07-26,2023-08-05,485.8,Not Certified
T001113,E00524,Sales Negotiation Skills,Miller Heiman,2022-05-09,2022-05-18,2143.19,Completed
T001114,E00524,Sales Negotiation Skills,Miller Heiman,2024-08-09,2024-08-13,3188.77,In Progress
T001115,E00524,Workplace Safety & Compliance,Internal L&D,2025-02-19,2025-02-27,2256.52,Completed
T001116,E00524,Cybersecurity Awareness,Udemy,2025-04-01,2025-04-03,2056.39,Completed
T001117,E00524,Effective Communication,LinkedIn Learning,2024-01-13,2024-01-19,872.33,Completed
T001118,E00526,Sales Negotiation Skills,Miller Heiman,2023-05-09,2023-05-13,2858.43,Completed
T001119,E00527,Effective Communication,LinkedIn Learning,2024-12-03,2024-12-05,3280.01,Completed
T001120,E00527,Project Management Professional,PMI,2024-01-11,2024-01-19,3093.73,Not Certified
T001121,E00527,Financial Modeling,Wall Street Prep,2024-03-02,2024-03-12,618.42,Completed
T001122,E00527,Python for Data Analysis,Coursera,2024-05-29,2024-06-01,1690.43,Completed
T001123,E00528,Leadership Excellence,Dale Carnegie,2025-06-16,2025-06-19,1192.99,Not Certified
T001124,E00529,Customer Service Excellence,Internal L&D,2023-04-28,2023-04-30,2810.0,Not Certified
T001125,E00529,Power BI for Business,Microsoft Learn,2023-06-23,2023-07-01,3272.25,Not Certified
T001126,E00529,Diversity & Inclusion Workshop,Internal L&D,2023-12-29,2024-01-03,2756.65,Completed
T001127,E00530,Diversity & Inclusion Workshop,Internal L&D,2024-11-24,2024-12-02,2762.42,Completed
T001128,E00532,Diversity & Inclusion Workshop,Internal L&D,2023-12-02,2023-12-06,718.19,Not Certified
T001129,E00532,Customer Service Excellence,Internal L&D,2022-10-02,2022-10-10,525.08,Not Certified
T001130,E00532,Agile & Scrum Master,Scrum.org,2024-06-13,2024-06-16,3236.66,Completed
T001131,E00532,Diversity & Inclusion Workshop,Internal L&D,2022-02-25,2022-02-28,2208.69,In Progress
T001132,E00532,Six Sigma Green Belt,ASQ,2024-04-28,2024-05-01,2840.88,Completed
T001133,E00532,Advanced Excel & Data Analysis,Coursera,2024-11-05,2024-11-11,1222.63,Completed
T001134,E00533,Workplace Safety & Compliance,Internal L&D,2024-11-02,2024-11-07,822.64,Completed
T001135,E00533,Six Sigma Green Belt,ASQ,2022-02-16,2022-02-18,1186.74,Completed
T001136,E00533,Project Management Professional,PMI,2022-11-01,2022-11-07,363.89,Completed
T001137,E00533,Diversity & Inclusion Workshop,Internal L&D,2024-10-03,2024-10-09,2477.24,Completed
T001138,E00533,Financial Modeling,Wall Street Prep,2023-04-07,2023-04-12,1492.32,In Progress
T001139,E00534,Project Management Professional,PMI,2024-08-24,2024-08-29,3238.38,Completed
T001140,E00534,Sales Negotiation Skills,Miller Heiman,2024-09-13,2024-09-19,673.7,Not Certified
T001141,E00534,Power BI for Business,Microsoft Learn,2024-02-16,2024-02-23,1293.66,In Progress
T001142,E00534,Leadership Excellence,Dale Carnegie,2025-03-23,2025-03-30,2126.79,Completed
T001143,E00536,Customer Service Excellence,Internal L&D,2024-05-21,2024-05-24,3274.95,Completed
T001144,E00536,Cloud Computing Fundamentals,AWS Training,2024-03-03,2024-03-06,1198.64,Completed
T001145,E00536,Python for Data Analysis,Coursera,2023-01-26,2023-02-04,2205.67,Completed
T001146,E00538,Advanced Excel & Data Analysis,Coursera,2025-06-22,2025-06-25,1478.95,In Progress
T001147,E00538,Diversity & Inclusion Workshop,Internal L&D,2023-09-25,2023-10-01,2199.18,Completed
T001148,E00539,Project Management Professional,PMI,2023-08-29,2023-09-02,621.23,Completed
T001149,E00540,Diversity & Inclusion Workshop,Internal L&D,2024-05-20,2024-05-28,2145.17,Completed
T001150,E00540,Agile & Scrum Master,Scrum.org,2024-07-29,2024-08-03,3366.66,Not Certified
T001151,E00540,Six Sigma Green Belt,ASQ,2025-01-12,2025-01-16,1242.81,In Progress
T001152,E00540,Customer Service Excellence,Internal L&D,2024-04-24,2024-05-01,2697.68,In Progress
T001153,E00541,Leadership Excellence,Dale Carnegie,2024-03-27,2024-03-30,3337.72,Completed
T001154,E00541,Cybersecurity Awareness,Udemy,2023-06-29,2023-07-03,1086.97,Completed
T001155,E00541,Sales Negotiation Skills,Miller Heiman,2023-02-25,2023-03-06,922.68,Completed
T001156,E00541,Agile & Scrum Master,Scrum.org,2023-03-21,2023-03-29,605.36,Not Certified
T001157,E00542,Cybersecurity Awareness,Udemy,2024-05-26,2024-06-04,2381.72,In Progress
T001158,E00542,Six Sigma Green Belt,ASQ,2024-11-13,2024-11-16,3380.75,Completed
T001159,E00546,Agile & Scrum Master,Scrum.org,2025-01-08,2025-01-13,579.78,Completed
T001160,E00546,Cybersecurity Awareness,Udemy,2025-01-17,2025-01-26,615.23,Completed
T001161,E00546,Python for Data Analysis,Coursera,2022-10-12,2022-10-17,1089.4,Completed
T001162,E00546,Power BI for Business,Microsoft Learn,2024-01-01,2024-01-04,707.29,Completed
T001163,E00546,Project Management Professional,PMI,2023-11-17,2023-11-22,3324.66,In Progress
T001164,E00548,Cloud Computing Fundamentals,AWS Training,2025-01-05,2025-01-07,2856.41,Completed
T001165,E00548,Cloud Computing Fundamentals,AWS Training,2025-01-13,2025-01-19,716.05,In Progress
T001166,E00549,Diversity & Inclusion Workshop,Internal L&D,2021-05-09,2021-05-13,298.18,In Progress
T001167,E00556,Cybersecurity Awareness,Udemy,2023-01-30,2023-02-09,1615.16,Completed
T001168,E00556,Effective Communication,LinkedIn Learning,2023-11-26,2023-11-29,2035.5,Completed
T001169,E00556,Workplace Safety & Compliance,Internal L&D,2023-03-07,2023-03-09,2165.49,Not Certified
T001170,E00556,Cloud Computing Fundamentals,AWS Training,2023-11-26,2023-12-04,2047.59,Completed
T001171,E00560,Python for Data Analysis,Coursera,2025-04-30,2025-05-03,150.14,In Progress
T001172,E00560,Project Management Professional,PMI,2024-09-02,2024-09-04,1230.59,Completed
T001173,E00561,Workplace Safety & Compliance,Internal L&D,2025-04-12,2025-04-17,2077.31,Completed
T001174,E00563,Cybersecurity Awareness,Udemy,2025-01-19,2025-01-26,2687.27,Completed
T001175,E00563,Financial Modeling,Wall Street Prep,2023-04-21,2023-04-29,2453.98,Completed
T001176,E00564,Six Sigma Green Belt,ASQ,2025-04-16,2025-04-25,2002.27,Not Certified
T001177,E00564,Sales Negotiation Skills,Miller Heiman,2025-06-08,2025-06-11,967.29,Completed
T001178,E00565,Sales Negotiation Skills,Miller Heiman,2024-07-18,2024-07-23,3054.86,Not Certified
T001179,E00566,Cloud Computing Fundamentals,AWS Training,2025-04-21,2025-04-24,512.64,Not Certified
T001180,E00567,Six Sigma Green Belt,ASQ,2021-10-20,2021-10-27,764.35,Completed
T001181,E00568,Financial Modeling,Wall Street Prep,2023-08-16,2023-08-23,2788.42,Completed
T001182,E00568,Power BI for Business,Microsoft Learn,2023-11-07,2023-11-14,2299.24,Completed
T001183,E00569,Cybersecurity Awareness,Udemy,2023-02-05,2023-02-12,2411.7,Not Certified
T001184,E00570,Advanced Excel & Data Analysis,Coursera,2023-05-19,2023-05-21,182.44,Completed
T001185,E00570,Workplace Safety & Compliance,Internal L&D,2024-11-25,2024-12-02,809.1,Completed
T001186,E00571,Customer Service Excellence,Internal L&D,2022-08-06,2022-08-08,1558.43,Completed
T001187,E00572,Power BI for Business,Microsoft Learn,2025-05-29,2025-05-31,3158.68,Completed
T001188,E00573,Financial Modeling,Wall Street Prep,2021-05-03,2021-05-11,1761.57,Completed
T001189,E00574,Project Management Professional,PMI,2023-04-10,2023-04-19,2364.85,Completed
T001190,E00574,Customer Service Excellence,Internal L&D,2024-02-17,2024-02-27,565.99,Completed
T001191,E00574,Leadership Excellence,Dale Carnegie,2024-05-17,2024-05-26,730.24,Completed
T001192,E00574,Agile & Scrum Master,Scrum.org,2022-03-29,2022-04-01,2277.84,Completed
T001193,E00574,Financial Modeling,Wall Street Prep,2024-04-30,2024-05-05,1923.86,Not Certified
T001194,E00574,Six Sigma Green Belt,ASQ,2025-05-17,2025-05-23,2827.96,Not Certified
T001195,E00575,Agile & Scrum Master,Scrum.org,2024-05-03,2024-05-10,3105.63,Completed
T001196,E00575,Agile & Scrum Master,Scrum.org,2025-06-08,2025-06-12,1944.76,Completed
T001197,E00575,Workplace Safety & Compliance,Internal L&D,2024-06-01,2024-06-06,2499.57,Completed
T001198,E00576,Workplace Safety & Compliance,Internal L&D,2022-04-21,2022-04-26,1648.44,Not Certified
T001199,E00576,Python for Data Analysis,Coursera,2024-04-05,2024-04-13,2052.4,Completed
T001200,E00576,Project Management Professional,PMI,2022-10-20,2022-10-28,2964.27,Completed
T001201,E00576,Cybersecurity Awareness,Udemy,2021-09-25,2021-10-03,1448.89,In Progress
T001202,E00578,Cybersecurity Awareness,Udemy,2025-03-03,2025-03-12,862.59,In Progress
