Performance_ID,Employee_ID,Review_Date,Reviewer_ID,KPI_Score,Productivity_Score,Attendance_Score,Teamwork_Score,Overall_Rating,Promotion_Recommendation
PF001193,E00379,2024-04-22,E00257,63.4,71.5,85.9,48.1,Average,No
PF001194,E00380,2024-07-08,E00183,73.6,65.1,68.1,49.2,Average,No
PF001195,E00380,2025-01-06,E00183,77.3,70.2,75.4,81.2,Good,No
PF001196,E00381,2022-09-17,E00285,62.4,73.0,89.8,92.2,Good,No
PF001197,E00381,2023-03-18,E00285,70.5,74.6,68.7,64.2,Average,No
PF001198,E00381,2023-09-16,E00285,76.6,77.6,90.4,65.9,Good,Yes
PF001199,E00381,2024-03-16,E00285,79.6,65.9,83.7,55.0,Good,No
PF001200,E00381,2024-09-14,E00285,63.4,95.3,88.1,77.9,Good,No
PF001201,E00381,2025-03-15,E00285,75.6,72.0,73.0,67.7,Good,Yes
PF001202,E00382,2023-03-25,E00239,76.1,57.9,75.7,67.0,Average,No
PF001203,E00382,2023-09-23,E00239,81.9,78.9,78.0,73.1,Good,No
PF001204,E00382,2024-03-23,E00239,73.9,77.1,77.1,67.1,Good,No
PF001205,E00383,2023-06-09,E00346,74.1,60.7,91.3,72.1,Good,No
PF001206,E00383,2023-12-08,E00346,55.1,69.1,76.3,73.0,Average,No
PF001207,E00383,2024-06-07,E00346,58.8,94.2,74.1,74.5,Good,Yes
PF001208,E00383,2024-12-06,E00346,91.1,81.7,89.1,71.2,Good,Yes
PF001209,E00384,2024-08-26,E00240,65.5,64.8,91.3,82.3,Good,No
PF001210,E00384,2025-02-24,E00240,67.9,67.9,99.7,85.8,Good,No
PF001211,E00386,2023-04-20,E00160,83.5,74.2,68.1,83.5,Good,Yes
PF001212,E00386,2023-10-19,E00160,59.7,72.3,80.8,81.1,Good,No
PF001213,E00386,2024-04-18,E00160,87.1,94.6,82.5,94.7,Good,No
PF001214,E00386,2024-10-17,E00160,84.2,52.9,81.3,63.0,Good,No
PF001215,E00386,2025-04-17,E00160,92.9,61.5,80.6,62.8,Good,No
PF001216,E00388,2022-06-02,E00301,88.6,83.3,87.9,73.9,Good,No
PF001217,E00388,2022-12-01,E00301,86.3,78.5,91.7,75.1,Good,No
PF001218,E00388,2023-06-01,E00301,88.4,81.7,69.3,84.2,Good,No
PF001219,E00388,2023-11-30,E00301,85.7,82.5,100.0,72.0,Good,No
PF001220,E00388,2024-05-30,E00301,69.7,85.5,88.3,87.7,Good,Yes
PF001221,E00388,2024-11-28,E00301,50.2,76.0,76.3,77.4,Average,No
PF001222,E00388,2025-05-29,E00301,86.4,65.3,88.2,76.1,Good,No
PF001223,E00389,2024-08-16,E00389,68.3,83.0,85.1,79.6,Good,No
PF001224,E00389,2025-02-14,E00389,73.9,72.0,79.4,96.6,Good,No
PF001225,E00390,2021-11-17,E00272,94.2,91.1,75.1,86.4,Good,No
PF001226,E00390,2022-05-18,E00272,73.8,56.9,86.7,77.3,Good,No
PF001227,E00390,2022-11-16,E00272,56.9,78.6,75.9,75.7,Good,No
PF001228,E00390,2023-05-17,E00272,78.9,72.3,69.8,86.2,Good,No
PF001229,E00391,2024-06-14,E00174,78.0,52.1,100.0,81.8,Good,Yes
PF001230,E00391,2024-12-13,E00174,82.5,88.5,76.9,71.7,Good,No
PF001231,E00391,2025-06-13,E00174,91.9,88.6,93.6,81.1,Good,Yes
PF001232,E00392,2021-09-09,E00392,82.7,64.5,80.2,91.1,Good,No
PF001233,E00394,2024-01-19,E00348,100.0,65.5,77.7,73.6,Good,Yes
PF001234,E00394,2024-07-19,E00348,81.9,60.6,73.9,64.2,Good,No
PF001235,E00394,2025-01-17,E00348,55.5,63.0,85.2,86.7,Good,No
PF001236,E00396,2021-01-29,E00396,66.4,85.1,96.1,84.5,Good,Yes
PF001237,E00396,2021-07-30,E00396,89.9,79.7,90.6,60.4,Good,Yes
PF001238,E00396,2022-01-28,E00396,80.8,81.7,73.2,77.9,Good,No
PF001239,E00396,2022-07-29,E00396,77.9,84.6,64.4,87.3,Good,No
PF001240,E00396,2023-01-27,E00396,84.5,95.8,82.3,77.9,Good,No
PF001241,E00396,2023-07-28,E00396,79.0,80.9,79.8,76.0,Good,No
PF001242,E00396,2024-01-26,E00396,71.5,60.5,79.6,63.4,Average,No
PF001243,E00396,2024-07-26,E00396,54.8,66.1,81.6,66.3,Average,No
PF001244,E00396,2025-01-24,E00396,86.9,68.8,72.3,76.6,Good,No
PF001245,E00397,2023-05-21,E00144,70.8,67.0,77.5,68.4,Good,No
PF001246,E00397,2023-11-19,E00144,88.8,32.6,88.4,84.9,Good,Yes
PF001247,E00397,2024-05-19,E00144,97.4,77.5,63.4,69.8,Good,No
PF001248,E00397,2024-11-17,E00144,54.7,81.4,81.6,52.5,Average,No
PF001249,E00397,2025-05-18,E00144,83.1,76.2,54.3,72.3,Good,Yes
PF001250,E00398,2021-07-11,E00271,59.8,66.8,43.4,50.0,Average,No
PF001251,E00398,2022-01-09,E00271,56.7,76.3,62.5,76.8,Average,No
PF001252,E00399,2023-04-13,E00138,70.2,64.5,70.8,72.1,Average,No
PF001253,E00401,2023-10-09,E00337,71.0,97.2,93.7,73.4,Good,No
PF001254,E00401,2024-04-08,E00337,80.1,76.0,78.9,89.0,Good,No
PF001255,E00401,2024-10-07,E00337,81.2,88.8,87.1,83.2,Good,No
PF001256,E00401,2025-04-07,E00337,75.1,91.6,85.2,82.7,Good,No
PF001257,E00402,2024-04-28,E00174,58.0,64.3,69.6,86.6,Average,No
PF001258,E00402,2024-10-27,E00174,78.0,86.8,69.0,74.9,Good,Yes
PF001259,E00402,2025-04-27,E00174,75.7,79.1,88.8,89.0,Good,No
PF001260,E00403,2024-08-23,E00114,74.3,98.8,93.0,80.9,Good,No
PF001261,E00403,2025-02-21,E00114,89.1,55.9,84.8,71.5,Good,Yes
PF001262,E00404,2021-04-12,E00196,67.9,78.3,62.6,90.3,Good,No
PF001263,E00404,2021-10-11,E00196,74.2,81.8,100.0,85.3,Good,Yes
PF001264,E00404,2022-04-11,E00196,92.4,53.0,74.7,85.2,Good,No
PF001265,E00404,2022-10-10,E00196,76.7,100.0,91.4,48.6,Good,No
PF001266,E00404,2023-04-10,E00196,85.3,79.6,77.9,69.5,Good,No
PF001267,E00404,2023-10-09,E00196,56.4,62.6,82.0,75.6,Average,No
PF001268,E00404,2024-04-08,E00196,52.9,73.2,86.7,73.7,Good,No
PF001269,E00404,2024-10-07,E00196,69.3,66.0,90.9,69.8,Good,No
PF001270,E00404,2025-04-07,E00196,87.7,64.7,81.9,74.5,Good,No
PF001271,E00405,2024-05-02,E00182,73.3,70.9,64.7,90.8,Good,No
PF001272,E00405,2024-10-31,E00182,74.0,52.5,84.5,99.7,Good,No
PF001273,E00405,2025-05-01,E00182,91.5,49.8,98.1,72.4,Good,Yes
PF001274,E00406,2020-12-02,E00223,75.0,87.5,72.6,94.4,Good,No
PF001275,E00406,2021-06-02,E00223,57.9,88.3,78.1,66.8,Good,Yes
PF001276,E00406,2021-12-01,E00223,100.0,43.1,76.7,82.4,Good,No
PF001277,E00406,2022-06-01,E00223,80.8,74.3,92.4,70.0,Good,Yes
PF001278,E00406,2022-11-30,E00223,88.1,82.1,67.3,82.2,Good,No
PF001279,E00406,2023-05-31,E00223,76.0,66.8,68.4,74.8,Good,No
PF001280,E00406,2023-11-29,E00223,64.6,80.8,70.4,56.2,Average,No
PF001281,E00406,2024-05-29,E00223,65.9,67.8,80.9,78.0,Good,No
PF001282,E00406,2024-11-27,E00223,73.3,72.4,80.6,57.9,Good,No
PF001283,E00406,2025-05-28,E00223,69.2,76.3,86.7,88.3,Good,Yes
PF001284,E00407,2023-05-13,E00309,68.7,62.1,63.1,59.0,Average,No
PF001285,E00407,2023-11-11,E00309,66.1,55.3,75.4,60.9,Average,No
PF001286,E00407,2024-05-11,E00309,84.7,78.1,80.2,69.8,Good,No
PF001287,E00407,2024-11-09,E00309,61.9,68.1,86.2,68.0,Good,No
PF001288,E00407,2025-05-10,E00309,83.6,63.8,72.3,88.6,Good,Yes
PF001289,E00409,2023-08-26,E00409,55.3,76.1,94.8,82.9,Good,Yes
PF001290,E00409,2024-02-24,E00409,82.6,80.2,85.2,77.1,Good,No
PF001291,E00409,2024-08-24,E00409,100.0,63.1,66.0,86.7,Good,Yes
PF001292,E00409,2025-02-22,E00409,92.0,80.6,77.2,83.3,Good,No
PF001293,E00410,2023-04-16,E00410,96.5,78.8,75.8,83.4,Good,No
PF001294,E00410,2023-10-15,E00410,73.5,57.8,78.6,75.1,Good,No
PF001295,E00410,2024-04-14,E00410,71.6,83.4,69.6,61.7,Good,No
PF001296,E00410,2024-10-13,E00410,86.1,64.1,80.9,78.9,Good,No
PF001297,E00410,2025-04-13,E00410,71.5,75.9,71.0,81.5,Good,No
PF001298,E00411,2022-07-03,E00034,49.4,77.2,93.0,83.8,Good,No
PF001299,E00411,2023-01-01,E00034,88.8,76.5,82.6,82.2,Good,No
PF001300,E00411,2023-07-02,E00034,67.7,72.6,87.5,72.3,Good,Yes
PF001301,E00411,2023-12-31,E00034,65.7,69.8,86.1,84.0,Good,No
PF001302,E00411,2024-06-30,E00034,77.3,79.0,67.9,80.8,Good,No
PF001303,E00412,2024-03-04,E00317,70.3,67.5,64.3,75.8,Average,No
PF001304,E00412,2024-09-02,E00317,57.8,60.8,81.3,70.2,Average,No
PF001305,E00412,2025-03-03,E00317,67.2,88.7,82.0,89.4,Good,No
PF001306,E00414,2025-05-22,E00066,68.3,61.7,77.3,78.5,Good,Yes
PF001307,E00415,2022-09-13,E00018,80.0,100.0,71.5,66.1,Good,No
PF001308,E00415,2023-03-14,E00018,82.8,89.5,94.1,71.3,Good,Yes
PF001309,E00415,2023-09-12,E00018,66.0,69.8,99.2,67.6,Good,Yes
PF001310,E00415,2024-03-12,E00018,86.2,59.4,82.0,74.8,Good,Yes
PF001311,E00415,2024-09-10,E00018,79.0,58.8,94.4,94.1,Good,No
PF001312,E00415,2025-03-11,E00018,61.8,79.2,99.1,96.8,Good,No
PF001313,E00416,2023-10-05,E00416,63.2,38.4,84.1,69.6,Average,No
PF001314,E00416,2024-04-04,E00416,62.2,84.8,63.5,84.0,Good,Yes
PF001315,E00416,2024-10-03,E00416,89.2,67.9,100.0,78.1,Good,Yes
PF001316,E00416,2025-04-03,E00416,81.0,81.7,75.7,69.9,Good,No
PF001317,E00418,2022-01-16,E00066,78.8,69.0,86.0,94.2,Good,Yes
PF001318,E00418,2022-07-17,E00066,73.0,92.9,65.2,75.7,Good,No
PF001319,E00418,2023-01-15,E00066,87.3,32.7,79.4,66.3,Average,No
PF001320,E00418,2023-07-16,E00066,77.8,60.5,67.8,83.0,Good,Yes
PF001321,E00418,2024-01-14,E00066,87.9,61.1,72.5,70.5,Good,No
PF001322,E00418,2024-07-14,E00066,91.4,59.4,79.7,72.9,Good,No
PF001323,E00419,2023-12-21,E00347,81.1,57.7,84.4,60.8,Good,No
PF001324,E00419,2024-06-20,E00347,68.6,42.5,94.8,88.1,Good,Yes
PF001325,E00419,2024-12-19,E00347,79.3,90.9,82.9,76.5,Good,No
PF001326,E00419,2025-06-19,E00347,71.3,60.9,86.1,68.3,Good,No
PF001327,E00421,2024-11-28,E00257,74.7,79.0,70.7,79.8,Good,Yes
PF001328,E00422,2021-12-10,E00348,49.8,80.9,80.8,81.1,Good,No
PF001329,E00422,2022-06-10,E00348,73.9,65.6,78.2,80.1,Good,No
PF001330,E00422,2022-12-09,E00348,74.7,75.5,81.8,70.7,Good,Yes
PF001331,E00423,2023-10-28,E00129,85.5,84.5,77.6,58.7,Good,No
PF001332,E00424,2023-03-06,E00424,83.1,88.5,80.3,56.5,Good,No
PF001333,E00424,2023-09-04,E00424,92.4,52.5,85.2,88.0,Good,No
PF001334,E00424,2024-03-04,E00424,83.5,68.4,90.9,77.3,Good,Yes
PF001335,E00426,2024-05-07,E00111,73.0,88.3,100.0,88.9,Good,Yes
PF001336,E00426,2024-11-05,E00111,59.5,94.7,87.0,62.5,Good,Yes
PF001337,E00426,2025-05-06,E00111,73.2,94.4,72.0,72.4,Good,No
PF001338,E00427,2024-07-25,E00098,78.7,67.4,95.5,81.1,Good,No
PF001339,E00427,2025-01-23,E00098,85.3,71.9,62.8,95.5,Good,No
PF001340,E00428,2023-01-09,E00164,85.2,94.7,82.9,81.1,Good,Yes
PF001341,E00428,2023-07-10,E00164,76.6,64.7,87.7,93.4,Good,No
PF001342,E00428,2024-01-08,E00164,57.2,91.3,82.0,71.0,Good,Yes
PF001343,E00428,2024-07-08,E00164,83.5,88.9,83.5,78.7,Good,Yes
PF001344,E00428,2025-01-06,E00164,51.8,58.0,89.3,61.9,Average,No
PF001345,E00429,2020-08-06,E00034,94.7,72.5,95.6,74.1,Good,Yes
PF001346,E00429,2021-02-04,E00034,76.4,89.4,77.5,77.4,Good,Yes
PF001347,E00429,2021-08-05,E00034,69.5,78.6,73.9,67.8,Good,No
PF001348,E00430,2020-11-10,E00430,81.5,64.4,74.6,84.9,Good,No
PF001349,E00430,2021-05-11,E00430,75.3,64.9,80.6,72.8,Good,Yes
PF001350,E00430,2021-11-09,E00430,89.2,71.3,86.7,79.6,Good,No
PF001351,E00430,2022-05-10,E00430,62.5,60.1,90.4,90.2,Good,No
PF001352,E00430,2022-11-08,E00430,67.7,61.8,75.8,74.7,Good,No
PF001353,E00430,2023-05-09,E00430,48.6,88.9,64.0,87.4,Good,No
PF001354,E00430,2023-11-07,E00430,74.9,82.7,67.3,77.1,Good,Yes
PF001355,E00430,2024-05-07,E00430,59.2,72.8,100.0,68.5,Good,No
PF001356,E00430,2024-11-05,E00430,78.4,100.0,83.6,90.3,Good,No
PF001357,E00430,2025-05-06,E00430,83.9,78.6,77.7,69.8,Good,No
PF001358,E00431,2024-06-17,E00297,73.8,91.5,70.9,79.2,Good,No
PF001359,E00431,2024-12-16,E00297,71.3,69.5,88.9,79.5,Good,Yes
PF001360,E00431,2025-06-16,E00297,86.2,74.6,79.8,71.3,Good,No
PF001361,E00432,2020-08-19,E00029,81.5,60.4,93.6,73.1,Good,No
PF001362,E00432,2021-02-17,E00029,87.1,70.5,50.9,88.2,Good,Yes
PF001363,E00432,2021-08-18,E00029,68.8,67.1,75.0,80.6,Good,Yes
PF001364,E00432,2022-02-16,E00029,67.9,72.2,73.5,76.6,Good,No
PF001365,E00432,2022-08-17,E00029,62.2,58.9,89.8,61.5,Average,No
PF001366,E00432,2023-02-15,E00029,73.3,67.8,79.6,86.1,Good,Yes
PF001367,E00432,2023-08-16,E00029,78.6,86.1,86.0,78.7,Good,No
PF001368,E00432,2024-02-14,E00029,93.2,57.5,76.5,78.2,Good,No
PF001369,E00432,2024-08-14,E00029,78.3,54.1,64.4,83.7,Good,Yes
PF001370,E00432,2025-02-12,E00029,82.4,83.3,91.1,84.0,Good,Yes
PF001371,E00433,2024-01-11,E00433,66.7,70.7,85.3,85.2,Good,No
PF001372,E00433,2024-07-11,E00433,73.1,62.9,86.9,89.0,Good,No
PF001373,E00434,2022-11-08,E00018,64.6,83.0,85.0,81.1,Good,No
PF001374,E00434,2023-05-09,E00018,73.3,71.5,90.4,80.7,Good,No
PF001375,E00434,2023-11-07,E00018,70.0,85.6,89.9,65.3,Good,Yes
PF001376,E00434,2024-05-07,E00018,53.2,89.5,75.4,76.8,Good,Yes
PF001377,E00434,2024-11-05,E00018,82.7,67.1,81.9,73.5,Good,No
PF001378,E00434,2025-05-06,E00018,74.8,86.4,80.9,67.4,Good,No
PF001379,E00435,2024-06-13,E00287,59.4,87.4,84.7,88.6,Good,No
PF001380,E00435,2024-12-12,E00287,89.7,70.3,89.9,63.8,Good,No
PF001381,E00435,2025-06-12,E00287,68.1,67.2,88.0,82.3,Good,Yes
PF001382,E00436,2023-11-21,E00035,85.1,80.0,85.2,67.0,Good,No
PF001383,E00436,2024-05-21,E00035,63.0,64.6,81.9,91.0,Good,No
PF001384,E00437,2025-04-30,E00437,63.4,48.6,77.7,88.9,Average,No
PF001385,E00438,2022-09-11,E00438,76.1,76.9,64.9,83.2,Good,No
PF001386,E00438,2023-03-12,E00438,97.3,62.5,81.2,64.2,Good,Yes
PF001387,E00438,2023-09-10,E00438,73.9,73.9,70.1,79.0,Good,No
PF001388,E00438,2024-03-10,E00438,78.3,51.2,61.0,67.1,Average,No
PF001389,E00438,2024-09-08,E00438,59.4,66.2,68.7,68.7,Average,No
PF001390,E00438,2025-03-09,E00438,78.1,58.2,81.3,71.8,Good,No
PF001391,E00441,2021-12-11,E00441,87.8,67.6,96.3,85.3,Good,Yes
PF001392,E00441,2022-06-11,E00441,65.5,80.8,69.5,84.6,Good,Yes
PF001393,E00441,2022-12-10,E00441,59.1,72.6,93.3,62.7,Good,No
PF001394,E00441,2023-06-10,E00441,80.3,36.3,68.4,84.2,Average,No
PF001395,E00441,2023-12-09,E00441,69.8,74.1,74.9,85.6,Good,No
PF001396,E00441,2024-06-08,E00441,55.3,44.2,87.6,77.5,Average,No
PF001397,E00441,2024-12-07,E00441,77.9,92.7,71.4,68.0,Good,No
PF001398,E00441,2025-06-07,E00441,66.6,90.1,90.9,90.0,Good,Yes
PF001399,E00442,2023-04-08,E00363,99.6,75.2,66.7,68.8,Good,No
PF001400,E00442,2023-10-07,E00363,65.6,80.9,72.5,74.3,Good,Yes
PF001401,E00442,2024-04-06,E00363,78.9,60.4,69.5,71.8,Good,Yes
PF001402,E00442,2024-10-05,E00363,72.0,59.7,76.4,86.1,Good,Yes
PF001403,E00442,2025-04-05,E00363,69.3,56.1,73.6,75.5,Average,No
PF001404,E00443,2024-10-21,E00176,72.0,72.7,83.9,76.8,Good,Yes
PF001405,E00443,2025-04-21,E00176,97.0,95.7,100.0,57.3,Good,No
PF001406,E00444,2024-03-10,E00393,74.4,60.1,88.7,56.5,Average,No
PF001407,E00444,2024-09-08,E00393,84.5,81.8,93.0,85.3,Good,Yes
PF001408,E00444,2025-03-09,E00393,89.9,74.5,73.6,79.1,Good,No
PF001409,E00445,2022-11-18,E00120,56.7,72.7,65.5,85.9,Good,Yes
PF001410,E00445,2023-05-19,E00120,65.4,81.9,75.3,78.5,Good,No
PF001411,E00445,2023-11-17,E00120,60.2,68.1,73.1,79.8,Good,Yes
PF001412,E00445,2024-05-17,E00120,60.9,67.0,96.6,77.8,Good,No
PF001413,E00445,2024-11-15,E00120,65.6,83.0,87.0,94.6,Good,No
PF001414,E00445,2025-05-16,E00120,85.4,61.5,95.9,50.3,Good,No
PF001415,E00446,2025-05-30,E00009,80.5,74.6,79.9,58.6,Good,No
PF001416,E00447,2024-09-06,E00031,75.4,61.6,100.0,85.1,Good,No
PF001417,E00447,2025-03-07,E00031,85.7,87.8,74.1,57.0,Good,No
PF001418,E00448,2023-09-27,E00069,89.5,60.8,89.7,83.2,Good,Yes
PF001419,E00449,2021-01-23,E00433,38.1,90.1,88.9,65.0,Good,Yes
PF001420,E00449,2021-07-24,E00433,74.9,70.7,83.4,68.9,Good,No
PF001421,E00449,2022-01-22,E00433,80.4,88.7,79.8,63.4,Good,No
PF001422,E00449,2022-07-23,E00433,68.3,74.5,77.9,67.7,Good,Yes
PF001423,E00449,2023-01-21,E00433,77.4,78.7,87.8,87.6,Good,No
PF001424,E00449,2023-07-22,E00433,89.3,100.0,90.3,64.6,Good,No
PF001425,E00449,2024-01-20,E00433,83.3,93.9,84.2,70.3,Good,No
PF001426,E00449,2024-07-20,E00433,78.6,52.1,65.7,72.0,Average,No
PF001427,E00449,2025-01-18,E00433,65.4,82.9,73.1,74.4,Good,No
PF001428,E00450,2021-09-05,E00139,86.3,75.3,77.2,64.9,Good,Yes
PF001429,E00450,2022-03-06,E00139,100.0,92.2,77.4,71.0,Good,No
PF001430,E00450,2022-09-04,E00139,82.0,62.6,80.8,90.3,Good,Yes
PF001431,E00450,2023-03-05,E00139,86.3,83.3,78.9,75.1,Good,No
PF001432,E00450,2023-09-03,E00139,77.2,77.2,94.4,75.9,Good,No
PF001433,E00451,2024-11-25,E00451,80.7,69.0,72.5,75.6,Good,No
PF001434,E00451,2025-05-26,E00451,84.8,83.3,51.5,79.6,Good,Yes
PF001435,E00452,2025-02-21,E00452,85.4,68.0,73.5,86.6,Good,No
PF001436,E00453,2020-07-31,E00453,65.7,55.9,65.9,71.3,Average,No
PF001437,E00453,2021-01-29,E00453,68.6,79.8,68.7,75.1,Good,Yes
PF001438,E00453,2021-07-30,E00453,86.1,69.2,84.0,74.3,Good,No
PF001439,E00453,2022-01-28,E00453,82.2,85.2,88.1,91.5,Good,No
PF001440,E00453,2022-07-29,E00453,70.5,86.6,87.6,65.6,Good,Yes
PF001441,E00453,2023-01-27,E00453,90.4,100.0,88.3,84.1,Excellent,No
PF001442,E00453,2023-07-28,E00453,64.5,85.2,76.5,75.0,Good,No
PF001443,E00453,2024-01-26,E00453,89.4,68.5,75.6,73.7,Good,No
PF001444,E00453,2024-07-26,E00453,67.5,80.6,86.1,74.9,Good,Yes
PF001445,E00453,2025-01-24,E00453,72.8,68.2,89.1,81.9,Good,Yes
PF001446,E00455,2022-05-27,E00114,87.6,54.4,86.2,77.8,Good,Yes
PF001447,E00455,2022-11-25,E00114,83.5,75.3,75.8,67.9,Good,No
PF001448,E00455,2023-05-26,E00114,62.9,100.0,75.7,69.3,Good,Yes
PF001449,E00455,2023-11-24,E00114,83.5,56.4,70.1,85.0,Good,No
PF001450,E00455,2024-05-24,E00114,71.0,68.4,71.9,65.7,Average,No
PF001451,E00455,2024-11-22,E00114,79.2,79.1,66.3,73.8,Good,No
PF001452,E00455,2025-05-23,E00114,83.6,57.0,78.6,74.9,Good,No
PF001453,E00457,2021-07-17,E00452,76.0,93.4,93.1,85.4,Good,No
PF001454,E00457,2022-01-15,E00452,63.4,83.3,70.6,70.1,Good,No
PF001455,E00457,2022-07-16,E00452,61.3,46.8,71.3,60.7,Average,No
PF001456,E00457,2023-01-14,E00452,72.1,79.8,60.4,90.5,Good,No
PF001457,E00457,2023-07-15,E00452,60.1,56.5,74.2,72.3,Average,No
PF001458,E00457,2024-01-13,E00452,77.0,83.2,80.9,85.2,Good,No
PF001459,E00458,2020-08-30,E00236,63.6,75.6,76.3,76.3,Good,No
PF001460,E00458,2021-02-28,E00236,88.1,79.7,81.7,59.2,Good,No
PF001461,E00458,2021-08-29,E00236,60.7,60.9,76.5,77.5,Average,No
PF001462,E00458,2022-02-27,E00236,85.2,67.8,84.4,95.3,Good,Yes
PF001463,E00460,2020-09-02,E00460,60.4,73.7,67.8,86.0,Good,Yes
PF001464,E00460,2021-03-03,E00460,77.3,61.6,85.8,71.4,Good,Yes
PF001465,E00460,2021-09-01,E00460,90.7,78.5,71.7,61.3,Good,No
PF001466,E00460,2022-03-02,E00460,91.1,100.0,79.0,66.9,Good,Yes
PF001467,E00460,2022-08-31,E00460,62.5,56.7,100.0,54.8,Average,No
PF001468,E00460,2023-03-01,E00460,73.3,71.0,83.1,67.5,Good,No
PF001469,E00460,2023-08-30,E00460,73.2,81.3,57.5,87.8,Good,No
PF001470,E00460,2024-02-28,E00460,55.4,78.4,79.0,76.0,Good,No
PF001471,E00460,2024-08-28,E00460,81.2,70.8,81.8,81.8,Good,Yes
PF001472,E00460,2025-02-26,E00460,80.6,68.6,77.9,88.4,Good,No
PF001473,E00461,2023-06-18,E00461,93.1,80.7,74.9,67.6,Good,No
PF001474,E00461,2023-12-17,E00461,90.1,59.4,84.0,81.1,Good,No
PF001475,E00461,2024-06-16,E00461,81.2,89.3,86.0,67.3,Good,No
PF001476,E00463,2023-04-05,E00089,59.4,66.2,71.7,56.5,Average,No
PF001477,E00463,2023-10-04,E00089,82.3,77.3,76.7,64.5,Good,No
PF001478,E00463,2024-04-03,E00089,76.3,94.4,75.9,88.5,Good,No
PF001479,E00463,2024-10-02,E00089,54.8,70.7,91.3,68.4,Good,No
PF001480,E00463,2025-04-02,E00089,80.4,72.6,58.9,85.0,Good,No
PF001481,E00464,2024-08-24,E00464,88.3,87.7,93.8,71.5,Good,No
PF001482,E00464,2025-02-22,E00464,60.5,61.4,82.6,70.2,Average,No
PF001483,E00465,2022-11-21,E00369,78.5,65.3,100.0,57.5,Good,No
PF001484,E00466,2024-09-03,E00064,70.0,100.0,89.9,60.3,Good,Yes
PF001485,E00467,2021-08-02,E00467,89.8,69.3,75.5,79.8,Good,No
PF001486,E00467,2022-01-31,E00467,81.4,85.7,70.6,74.0,Good,Yes
PF001487,E00467,2022-08-01,E00467,90.3,83.0,77.4,71.7,Good,Yes
PF001488,E00468,2024-05-18,E00468,55.3,48.5,79.7,85.2,Average,No
PF001489,E00468,2024-11-16,E00468,69.5,57.3,93.9,97.8,Good,No
PF001490,E00468,2025-05-17,E00468,73.4,81.3,95.5,82.7,Good,Yes
PF001491,E00470,2025-03-16,E00470,62.4,67.8,94.0,73.0,Good,No
PF001492,E00473,2021-07-02,E00197,62.5,61.0,90.0,75.6,Good,No
PF001493,E00473,2021-12-31,E00197,64.3,84.1,88.4,72.2,Good,Yes
PF001494,E00473,2022-07-01,E00197,80.0,71.0,71.1,74.4,Good,No
PF001495,E00473,2022-12-30,E00197,83.6,70.7,73.6,87.5,Good,Yes
PF001496,E00473,2023-06-30,E00197,66.6,84.9,86.4,78.8,Good,No
PF001497,E00473,2023-12-29,E00197,60.4,65.8,53.9,85.8,Average,No
PF001498,E00473,2024-06-28,E00197,59.3,100.0,77.7,73.3,Good,No
PF001499,E00474,2021-12-13,E00474,61.4,66.5,73.8,63.7,Average,No
PF001500,E00474,2022-06-13,E00474,75.3,64.8,72.2,57.7,Average,No
PF001501,E00474,2022-12-12,E00474,77.9,77.5,79.0,56.5,Good,No
PF001502,E00474,2023-06-12,E00474,82.5,82.8,80.7,75.0,Good,No
PF001503,E00474,2023-12-11,E00474,93.9,71.6,75.4,78.7,Good,Yes
PF001504,E00474,2024-06-10,E00474,86.2,73.1,80.6,62.6,Good,Yes
PF001505,E00474,2024-12-09,E00474,73.3,58.6,86.9,88.0,Good,No
PF001506,E00474,2025-06-09,E00474,67.3,70.0,87.0,76.9,Good,Yes
PF001507,E00476,2021-11-14,E00454,82.1,58.5,93.9,81.6,Good,Yes
PF001508,E00476,2022-05-15,E00454,82.6,74.7,93.2,92.6,Good,Yes
PF001509,E00476,2022-11-13,E00454,69.8,76.4,93.0,63.5,Good,No
PF001510,E00476,2023-05-14,E00454,48.6,58.6,97.8,74.3,Average,No
PF001511,E00476,2023-11-12,E00454,78.5,95.0,95.7,68.3,Good,No
PF001512,E00476,2024-05-12,E00454,90.1,78.8,72.7,62.4,Good,Yes
PF001513,E00476,2024-11-10,E00454,57.7,84.0,98.8,71.3,Good,No
PF001514,E00476,2025-05-11,E00454,45.9,88.4,84.4,84.5,Good,No
PF001515,E00478,2025-05-28,E00366,90.2,59.2,85.7,71.4,Good,Yes
PF001516,E00479,2023-10-16,E00239,70.7,81.4,89.0,59.0,Good,No
PF001517,E00479,2024-04-15,E00239,72.2,57.6,78.8,75.0,Good,No
PF001518,E00479,2024-10-14,E00239,80.1,67.8,80.2,94.0,Good,No
PF001519,E00479,2025-04-14,E00239,99.2,64.9,91.2,53.9,Good,No
PF001520,E00480,2024-09-13,E00480,60.0,71.2,84.9,80.0,Good,No
PF001521,E00480,2025-03-14,E00480,88.9,100.0,77.1,75.8,Good,No
PF001522,E00481,2023-11-27,E00306,83.8,55.4,86.3,77.4,Good,No
PF001523,E00482,2022-12-26,E00287,82.5,64.1,91.2,75.4,Good,Yes
PF001524,E00482,2023-06-26,E00287,98.6,63.2,87.2,86.7,Good,Yes
PF001525,E00482,2023-12-25,E00287,65.2,55.4,68.3,79.8,Average,No
PF001526,E00482,2024-06-24,E00287,91.3,90.1,74.0,84.5,Good,No
